tokens	labels
['sulen', 'ouch', 'Glorîône', 'und', 'dem', 'stolzen', 'Fausabrê', 'und', 'dem', 'künige', 'Tampastê', 'und', 'dem', 'herzogen', 'Môrant', 'benennen,', 'daz', 'der', 'sehser', 'hant', 'vil']	['O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']
['niender', 'funde', 'enkeinen', 'degen', 'sô', 'stæte,', 'der', 'ie', 'beʒʒerʒ', 'getæte.', 'Dô', 'sprach', 'der', 'künic', 'Artûs,', 'dô', 'er', 'saʒ', 'in', 'sîme', 'hûs,']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O']
['wartmannes', 'mâl.', 'nû', 'sage', 'mir,', 'helt,', 'al', 'sunder', 'twâl', 'der', 'Franzoyser', 'gelegenheit.', 'ob', 'si', 'entrünnen,', 'ez', 'wære', 'mir', 'leit.&apos;', '‘Nû', 'geloubt']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['uns', 'danne', 'daz', 'dehein', 'getwerc', 'enwære', 'noch', 'sî', 'kurzer', 'danne', 'Bîlêî.', 'swes', 'im', 'an', 'wahsenne', 'gebrast,', 'daz', 'hete', 'der', 'wênige', 'gast']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['elliu', 'chunne', 'hie', 'in', 'erde', 'joch', 'in', 'himele.', 'on', 'der', 'Juden', 'slahte', 'got', 'mit', 'magenchrefte', 'diu', 'hellesloz', 'er', 'al', 'zebrach.', 'duo']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['ir', 'vriunt,', 'her', 'Gwîgâlois,', 'den', 'der', 'milte', 'Britanois,', 'der', 'künic', 'Artûs,', 'hât', 'gesant', 'zer', 'âventiurẹ,', 'daz', 'er', 'daz', 'lant', 'solde', 'erwerben']	['O', 'O', 'O', 'B', 'O', 'O', 'O', 'B', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['der', 'ist', 'ein', 'teil', 'gescheiden', 'hin.', 'hie', 'wâren', 'durch', 'die', 'Schotten', 'die', 'werlîche', 'rotten.', 'im', 'kom', 'von', 'Gruonlanden', 'helde', 'zen', 'handen,']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O']
['von', 'sîden', 'und', 'von', 'golde.', 'Êrec', 'der', 'Êren', 'holde', 'und', 'Guivreiz\xa0le\xa0pitîz', 'die', 'wurden', 'dô', 'en', 'allen', 'vlîz', 'gêret', 'und', 'enthalten', 'und']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['sô', 'wart', 'mîn', 'maget', 'geslagen', 'und', 'Êrec', 'fil', 'de', 'roi', 'Lac.', 'umbe', 'den', 'selben', 'geiselslac', 'schiet', 'er', 'vor', 'leide', 'von', 'mir']	['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['süeziu', 'magt,', 'liehter', 'var', 'gar', 'unverkrenket,', 'als', 'ein', 'âmeize', 'gelenket.', 'Feirefîz', 'gein', 'der', 'wirtîn', 'trat:', 'diu', 'künegîn', 'den', 'sich', 'küssen', 'bat.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
